date,energy_system,price_base,price_peak,price_offpeak,price_min,price_max,price_average
2024-12-11,ОЕС України (синхронізована з ENTSO-E),6068.98583333333,6775,5362.97166666667,2500,9000,6282.86622247844
2024-12-12,ОЕС України (синхронізована з ENTSO-E),6240.68041666667,6775,5706.36083333333,2890,9000,6445.3024912028995
2024-12-13,ОЕС України (синхронізована з ENTSO-E),6155.7975,6408.45416666667,5903.14083333333,3920,9000,6296.43196154928
2024-12-14,ОЕС України (синхронізована з ENTSO-E),5827.20708333333,5706.95416666667,5947.46,2998,8900,5829.73763062325
2024-12-15,ОЕС України (синхронізована з ENTSO-E),6041.86791666667,6727.10333333333,5356.6325,2890,8950.95,6285.6668625143
2024-12-16,ОЕС України (синхронізована з ENTSO-E),6130.52,6760.83166666667,5500.20833333333,2500,8952.75,6418.80280849119
2024-12-17,ОЕС України (синхронізована з ENTSO-E),5875.94583333333,6642.30833333333,5109.58333333333,2000,8940,6113.7814125786
2024-12-18,ОЕС України (синхронізована з ENTSO-E),5238.74416666667,5617.7175,4859.77083333333,2500,8900,5373.83705852926
2024-12-19,ОЕС України (синхронізована з ENTSO-E),5525.72291666667,6240.77916666667,4810.66666666667,3050,8900,5609.18208791861
2024-12-20,ОЕС України (синхронізована з ENTSO-E),5386.86125,6187.14166666667,4586.58083333333,2890,8900,5530.61881484784
2024-12-21,ОЕС України (синхронізована з ENTSO-E),5136.90791666667,6479.14916666667,3794.66666666667,2500,8900,5370.60918854374
2024-12-22,ОЕС України (синхронізована з ENTSO-E),5033.9425,5442.91666666667,4624.96833333333,2678,8951.62,5257.31403367916
2024-12-23,ОЕС України (синхронізована з ENTSO-E),6095.82,6754.09666666667,5437.54333333333,3849,8953.34,6281.76093889633
2024-12-24,ОЕС України (синхронізована з ENTSO-E),5315.185,6301.62,4328.75,2000,8900,5611.09778212508
2024-12-25,ОЕС України (синхронізована з ENTSO-E),4881.58333333333,5727.91666666667,4035.25,2500,8800,5069.14954018492
2024-12-26,ОЕС України (синхронізована з ENTSO-E),6092.08333333333,6775,5409.16666666667,2500,9000,6333.79013102221
2024-12-27,ОЕС України (синхронізована з ENTSO-E),5846.5925,6753.88666666667,4939.29833333333,2390,9000,6084.06020084262
2024-12-28,ОЕС України (синхронізована з ENTSO-E),6066.87541666667,6682.895,5450.85583333333,2890,9000,6211.17239151877
2024-12-29,ОЕС України (синхронізована з ENTSO-E),6332.2075,6773.31916666667,5891.09583333333,3920,9000,6418.95732578554
2024-12-30,ОЕС України (синхронізована з ENTSO-E),5838.53458333333,6770.98583333333,4906.08333333333,2678,9000,6016.97682865664
2024-12-31,ОЕС України (синхронізована з ENTSO-E),4362.328333333333,5196.49,3528.166666666667,2500,8400,4494.986279714656
2025-01-01,ОЕС України (синхронізована з ENTSO-E),3250.666666666667,3297.166666666667,3204.166666666667,490,8300,3518.410187833517
2025-01-02,ОЕС України (синхронізована з ENTSO-E),4685.27375,5655.2975,3715.25,1199,8200,4879.710750759011
2025-01-03,ОЕС України (синхронізована з ENTSO-E),5203.211666666667,6303.59,4102.833333333334,1999,8000,5467.939866678555
2025-01-04,ОЕС України (синхронізована з ENTSO-E),5436.629583333333,5873.38,4999.879166666667,2678,8947.11,5601.633563310504
2025-01-05,ОЕС України (синхронізована з ENTSO-E),4869.097916666667,4927.529166666666,4810.666666666667,2819,8600,4960.199441265512
2025-01-06,ОЕС України (синхронізована з ENTSO-E),5402,6633.333333333333,4170.666666666667,2000,8700,5631.178641064583
2025-01-07,ОЕС України (синхронізована з ENTSO-E),5168.295416666666,6157.340833333334,4179.25,2500,8600,5365.770963809086
2025-01-08,ОЕС України (синхронізована з ENTSO-E),5721.225416666666,6575.0225,4867.428333333333,2678,8950.66,5972.004666394156
2025-01-09,ОЕС України (синхронізована з ENTSO-E),5835.215,6340.898333333334,5329.531666666667,3880,8200,5944.562105865344
2025-01-10,ОЕС України (синхронізована з ENTSO-E),5528.75,6500,4557.5,2500,8000,5748.888522807511
2025-01-11,ОЕС України (синхронізована з ENTSO-E),6163.539166666667,6414.964166666667,5912.114166666666,4308,9000,6321.730518578104
2025-01-12,ОЕС України (синхронізована з ENTSO-E),5259.184583333334,5172.4525,5345.916666666667,2890,8600,5422.540736787843
2025-01-13,ОЕС України (синхронізована з ENTSO-E),5627.080833333333,6461.911666666667,4792.25,2678,8936.24,5866.620072301911
2025-01-14,ОЕС України (синхронізована з ENTSO-E),5823.01,6369.1275,5276.8925,3000,9000,6070.950603425121
2025-01-15,ОЕС України (синхронізована з ENTSO-E),6162.321666666666,6775,5549.643333333333,3000,9000,6396.856058498764
2025-01-16,ОЕС України (синхронізована з ENTSO-E),5863.479166666666,6775,4951.958333333334,2678,9000,6150.467063071696
2025-01-17,ОЕС України (синхронізована з ENTSO-E),5743.999166666666,6760.045833333334,4727.9525,2000,8950,6065.570453696992
2025-01-18,ОЕС України (синхронізована з ENTSO-E),5452.881666666666,6258.9,4646.863333333333,2490,8988.69,5745.176996300407
2025-01-19,ОЕС України (синхронізована з ENTSO-E),5387.872083333333,5627.5,5148.244166666666,2840,8990.02,5663.205830763085
2025-01-20,ОЕС України (синхронізована з ENTSO-E),5425.3175,5784.7425,5065.8925,2500,9000,5702.198145938115
2025-01-21,ОЕС України (синхронізована з ENTSO-E),5958.906666666668,6774.396666666667,5143.416666666666,2678,9000,6252.825060821206
2025-01-22,ОЕС України (синхронізована з ENTSO-E),5735.132083333333,6771.930833333334,4698.333333333334,2000,9000,6076.692621322826
2025-01-23,ОЕС України (синхронізована з ENTSO-E),6120.070416666667,6769.974166666667,5470.166666666666,3300,8989.69,6339.151702729579
2025-01-24,ОЕС України (синхронізована з ENTSO-E),5992.283333333333,6760.566666666667,5224,2890,8980,6218.473308815765
2025-01-25,ОЕС України (синхронізована з ENTSO-E),5731.134583333333,6107.54,5354.729166666667,2850,8992.48,5935.015284962358
2025-01-26,ОЕС України (синхронізована з ENTSO-E),5400.50625,5879.75,4921.2625,2500,8989.15,5712.515276568686
2025-01-27,ОЕС України (синхронізована з ENTSO-E),5376.625,6005.25,4748,2000,8900,5664.274196399087
2025-01-28,ОЕС України (синхронізована з ENTSO-E),5845.8,6561.195,5130.405000000001,2480,8987.55,6100.619296431653
