"","date","load_type","country","price","price_difference"
"346","2019-09-19","база","Україна",58.61,NA
"347","2019-09-19","база","Польща",260.34,344.19
"348","2019-09-19","база","Словаччина",46.65,-20.41
"349","2019-09-19","база","Угорщина",53.4,-8.89
"350","2019-09-19","база","Румунія",122.1,108.33
"351","2019-09-19","пік","Україна",72.94,NA
"352","2019-09-19","пік","Польща",288.41,295.41
"353","2019-09-19","пік","Словаччина",48.4,-33.64
"354","2019-09-19","пік","Угорщина",57.94,-20.56
"355","2019-09-19","пік","Румунія",152.63,109.25
"356","2019-09-19","позапік","Україна",44.27,NA
"357","2019-09-19","позапік","Польща",232.27,424.67
"358","2019-09-19","позапік","Словаччина",44.9,1.42
"359","2019-09-19","позапік","Угорщина",48.86,10.37
"360","2019-09-19","позапік","Румунія",91.56,106.82
"361","2019-09-20","база","Україна",59.33,NA
"362","2019-09-20","база","Польща",272.42,359.16
"363","2019-09-20","база","Словаччина",47.65,-19.69
"364","2019-09-20","база","Угорщина",51.51,-13.18
"365","2019-09-20","база","Румунія",51.97,-12.41
"366","2019-09-20","пік","Україна",74.41,NA
"367","2019-09-20","пік","Польща",301.96,305.81
"368","2019-09-20","пік","Словаччина",50.78,-31.76
"369","2019-09-20","пік","Угорщина",54.03,-27.39
"370","2019-09-20","пік","Румунія",54.81,-26.34
"371","2019-09-20","позапік","Україна",44.25,NA
"372","2019-09-20","позапік","Польща",242.87,448.86
"373","2019-09-20","позапік","Словаччина",44.52,0.61
"374","2019-09-20","позапік","Угорщина",49,10.73
"375","2019-09-20","позапік","Румунія",49.13,11.03
"376","2019-09-21","база","Україна",58.15,NA
"377","2019-09-21","база","Польща",240.25,313.16
"378","2019-09-21","база","Словаччина",40.05,-31.13
"379","2019-09-21","база","Угорщина",47,-19.17
"380","2019-09-21","база","Румунія",62.27,7.09
"381","2019-09-21","пік","Україна",72.41,NA
"382","2019-09-21","пік","Польща",244.27,237.34
"383","2019-09-21","пік","Словаччина",42.68,-41.06
"384","2019-09-21","пік","Угорщина",47.76,-34.04
"385","2019-09-21","пік","Румунія",68.35,-5.61
"386","2019-09-21","позапік","Україна",43.9,NA
"387","2019-09-21","позапік","Польща",236.23,438.11
"388","2019-09-21","позапік","Словаччина",37.43,-14.74
"389","2019-09-21","позапік","Угорщина",46.24,5.33
"390","2019-09-21","позапік","Румунія",56.19,28
"391","2019-09-22","база","Україна",55.77,NA
"392","2019-09-22","база","Польща",216.97,289.04
"393","2019-09-22","база","Словаччина",35.42,-36.49
"394","2019-09-22","база","Угорщина",43.38,-22.22
"395","2019-09-22","база","Румунія",43.56,-21.89
"396","2019-09-22","пік","Україна",68.12,NA
"397","2019-09-22","пік","Польща",232.04,240.63
"398","2019-09-22","пік","Словаччина",36.4,-46.56
"399","2019-09-22","пік","Угорщина",47.56,-30.18
"400","2019-09-22","пік","Румунія",47.91,-29.67
"401","2019-09-22","позапік","Україна",43.42,NA
"402","2019-09-22","позапік","Польща",201.89,364.97
"403","2019-09-22","позапік","Словаччина",34.44,-20.68
"404","2019-09-22","позапік","Угорщина",39.2,-9.72
"405","2019-09-22","позапік","Румунія",39.2,-9.72
"406","2019-09-23","база","Україна",58.42,NA
"407","2019-09-23","база","Польща",266.97,356.98
"408","2019-09-23","база","Словаччина",56.71,-2.93
"409","2019-09-23","база","Угорщина",57.85,-0.98
"410","2019-09-23","база","Румунія",67.2,15.03
"411","2019-09-23","пік","Україна",73.3,NA
"412","2019-09-23","пік","Польща",298.2,306.82
"413","2019-09-23","пік","Словаччина",69.62,-5.02
"414","2019-09-23","пік","Угорщина",69.62,-5.02
"415","2019-09-23","пік","Румунія",77.46,5.68
"416","2019-09-23","позапік","Україна",43.54,NA
"417","2019-09-23","позапік","Польща",235.74,441.43
"418","2019-09-23","позапік","Словаччина",43.81,0.62
"419","2019-09-23","позапік","Угорщина",46.08,5.83
"420","2019-09-23","позапік","Румунія",56.93,30.75
"421","2019-09-24","база","Україна",58.86,NA
"422","2019-09-24","база","Польща",266.37,352.55
"423","2019-09-24","база","Словаччина",60.55,2.87
"424","2019-09-24","база","Угорщина",62.31,5.86
"425","2019-09-24","база","Румунія",82.05,39.4
"426","2019-09-24","пік","Україна",73.26,NA
"427","2019-09-24","пік","Польща",292.85,299.74
"428","2019-09-24","пік","Словаччина",68.12,-7.02
"429","2019-09-24","пік","Угорщина",68.14,-6.99
"430","2019-09-24","пік","Румунія",99.19,35.39
"431","2019-09-24","позапік","Україна",44.47,NA
"432","2019-09-24","позапік","Польща",239.89,439.44
"433","2019-09-24","позапік","Словаччина",52.99,19.16
"434","2019-09-24","позапік","Угорщина",56.47,26.98
"435","2019-09-24","позапік","Румунія",64.91,45.96
"436","2019-09-25","база","Україна",60.29,NA
"437","2019-09-25","база","Польща",275.68,357.26
"438","2019-09-25","база","Словаччина",66.04,9.54
"439","2019-09-25","база","Угорщина",67.12,11.33
"440","2019-09-25","база","Румунія",67.4,11.79
"441","2019-09-25","пік","Україна",74.64,NA
"442","2019-09-25","пік","Польща",301.38,303.78
"443","2019-09-25","пік","Словаччина",80.59,7.97
"444","2019-09-25","пік","Угорщина",80.59,7.97
"445","2019-09-25","пік","Румунія",80.59,7.97
"446","2019-09-25","позапік","Україна",45.94,NA
"447","2019-09-25","позапік","Польща",249.99,444.17
"448","2019-09-25","позапік","Словаччина",51.49,12.08
"449","2019-09-25","позапік","Угорщина",53.66,16.8
"450","2019-09-25","позапік","Румунія",54.21,18
"451","2019-09-26","база","Україна",60.17,NA
"452","2019-09-26","база","Польща",292.43,386.01
"453","2019-09-26","база","Словаччина",59.45,-1.2
"454","2019-09-26","база","Угорщина",60.5,0.55
"455","2019-09-26","база","Румунія",60.5,0.55
"456","2019-09-26","пік","Україна",75.39,NA
"457","2019-09-26","пік","Польща",321.46,326.4
"458","2019-09-26","пік","Словаччина",68.15,-9.6
"459","2019-09-26","пік","Угорщина",68.15,-9.6
"460","2019-09-26","пік","Румунія",68.15,-9.6
"461","2019-09-26","позапік","Україна",44.95,NA
"462","2019-09-26","позапік","Польща",263.4,485.98
"463","2019-09-26","позапік","Словаччина",50.75,12.9
"464","2019-09-26","позапік","Угорщина",52.86,17.6
